ticker,status,order,aic,test_rmse,test_mae,test_mape,directional_accuracy,selection_method,model_path,error,error_type
INVH,success,"(0, 0, 0)",-719.2502534704106,,,,,,arimaxmodels\INVH_arimax.pkl,,
IP,success,"(0, 0, 1)",-679.7983020233626,,,,,,arimaxmodels\IP_arimax.pkl,,
IQV,success,"(0, 0, 1)",-645.6533408581864,,,,,,arimaxmodels\IQV_arimax.pkl,,
ISRG,success,"(2, 0, 0)",-702.6057496301728,,,,,,arimaxmodels\ISRG_arimax.pkl,,
ITW,success,"(1, 0, 2)",-749.7829566086298,,,,,,arimaxmodels\ITW_arimax.pkl,,
JBHT,success,"(0, 0, 4)",-627.6899571548026,,,,,,arimaxmodels\JBHT_arimax.pkl,,
JNJ,success,"(0, 0, 2)",-807.8209719729043,,,,,,arimaxmodels\JNJ_arimax.pkl,,
JPM,success,"(0, 0, 4)",-728.3655552481363,,,,,,arimaxmodels\JPM_arimax.pkl,,
J,success,"(1, 0, 6)",-694.0475387445522,,,,,,arimaxmodels\J_arimax.pkl,,
KDP,success,"(3, 0, 1)",-775.41525150369,,,,,,arimaxmodels\KDP_arimax.pkl,,
KEYS,success,"(0, 0, 5)",-679.3328115738423,,,,,,arimaxmodels\KEYS_arimax.pkl,,
KKR,success,"(1, 0, 1)",-589.6969923669808,,,,,,arimaxmodels\KKR_arimax.pkl,,
KLAC,success,"(2, 0, 6)",-596.5159615088629,,,,,,arimaxmodels\KLAC_arimax.pkl,,
KMB,success,"(0, 0, 0)",-771.3609748559971,,,,,,arimaxmodels\KMB_arimax.pkl,,
KMI,success,"(0, 0, 2)",-735.4749783400604,,,,,,arimaxmodels\KMI_arimax.pkl,,
KO,success,"(0, 0, 2)",-845.7669858908544,,,,,,arimaxmodels\KO_arimax.pkl,,
LEN,success,"(0, 0, 1)",-660.6817849771121,,,,,,arimaxmodels\LEN_arimax.pkl,,
LHX,success,"(1, 0, 5)",-697.3832039065553,,,,,,arimaxmodels\LHX_arimax.pkl,,
LIN,success,"(2, 0, 6)",-742.946234295524,,,,,,arimaxmodels\LIN_arimax.pkl,,
LKQ,success,"(1, 0, 0)",-678.5094048362989,,,,,,arimaxmodels\LKQ_arimax.pkl,,
LLY,success,"(0, 0, 4)",-625.0432040746664,,,,,,arimaxmodels\LLY_arimax.pkl,,
LMT,success,"(4, 0, 0)",-772.0079367286748,,,,,,arimaxmodels\LMT_arimax.pkl,,
LOW,success,"(1, 0, 1)",-701.8387647254397,,,,,,arimaxmodels\LOW_arimax.pkl,,
LRCX,success,"(0, 0, 3)",-579.3669852878176,,,,,,arimaxmodels\LRCX_arimax.pkl,,
LULU,success,"(4, 0, 0)",-623.0490819228072,,,,,,arimaxmodels\LULU_arimax.pkl,,
LUV,success,"(2, 0, 6)",-608.3889134231318,,,,,,arimaxmodels\LUV_arimax.pkl,,
LVS,success,"(6, 0, 3)",-607.3372533027888,,,,,,arimaxmodels\LVS_arimax.pkl,,
LW,success,"(4, 0, 5)",-644.0239890690099,,,,,,arimaxmodels\LW_arimax.pkl,,
LYB,success,"(0, 0, 0)",-687.2112601443197,,,,,,arimaxmodels\LYB_arimax.pkl,,
MAR,success,"(1, 0, 1)",-653.4887412994727,,,,,,arimaxmodels\MAR_arimax.pkl,,
MAS,success,"(1, 0, 2)",-658.0132883688678,,,,,,arimaxmodels\MAS_arimax.pkl,,
MA,success,"(0, 0, 0)",-737.1620171165716,,,,,,arimaxmodels\MA_arimax.pkl,,
MCD,success,"(0, 0, 0)",-780.826712583305,,,,,,arimaxmodels\MCD_arimax.pkl,,
MCK,success,"(3, 0, 3)",-744.4837759786245,,,,,,arimaxmodels\MCK_arimax.pkl,,
MCO,success,"(0, 0, 0)",-694.9632854975877,,,,,,arimaxmodels\MCO_arimax.pkl,,
MDLZ,success,"(0, 0, 0)",-767.3658040393542,,,,,,arimaxmodels\MDLZ_arimax.pkl,,
MDT,success,"(5, 0, 0)",-727.7050509723522,,,,,,arimaxmodels\MDT_arimax.pkl,,
META,success,"(2, 0, 1)",-610.4941630206863,,,,,,arimaxmodels\META_arimax.pkl,,
MGM,success,"(1, 0, 0)",-608.4577140809773,,,,,,arimaxmodels\MGM_arimax.pkl,,
MHK,success,"(1, 0, 1)",-568.4063529455284,,,,,,arimaxmodels\MHK_arimax.pkl,,
MKTX,success,"(1, 0, 0)",-611.6682884909355,,,,,,arimaxmodels\MKTX_arimax.pkl,,
MLM,success,"(1, 0, 2)",-662.7634575781211,,,,,,arimaxmodels\MLM_arimax.pkl,,
MMC,success,"(0, 0, 0)",-781.5628510271833,,,,,,arimaxmodels\MMC_arimax.pkl,,
MMM,success,"(1, 0, 4)",-676.1593916029876,,,,,,arimaxmodels\MMM_arimax.pkl,,
MNST,success,"(0, 0, 0)",-731.3149537837733,,,,,,arimaxmodels\MNST_arimax.pkl,,
MO,success,"(0, 0, 0)",-774.7906707098416,,,,,,arimaxmodels\MO_arimax.pkl,,
MPWR,success,"(3, 0, 5)",-520.5194637611304,,,,,,arimaxmodels\MPWR_arimax.pkl,,
MRK,success,"(0, 0, 1)",-707.8889612640003,,,,,,arimaxmodels\MRK_arimax.pkl,,
MSFT,success,"(0, 0, 0)",-684.7549725091231,,,,,,arimaxmodels\MSFT_arimax.pkl,,
MSI,success,"(4, 0, 0)",-771.124705392574,,,,,,arimaxmodels\MSI_arimax.pkl,,
MS,success,"(2, 0, 6)",-670.4537896319803,,,,,,arimaxmodels\MS_arimax.pkl,,
MTB,success,"(2, 0, 0)",-644.5264492301314,,,,,,arimaxmodels\MTB_arimax.pkl,,
MU,success,"(0, 0, 0)",-561.6531370298973,,,,,,arimaxmodels\MU_arimax.pkl,,
NCLH,success,"(0, 0, 4)",-521.2308926543925,,,,,,arimaxmodels\NCLH_arimax.pkl,,
NDAQ,success,"(2, 0, 3)",-676.9469242771079,,,,,,arimaxmodels\NDAQ_arimax.pkl,,
